"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","timeoutFailure()","","2026-07-10","broken","2026-07-10","","sdet.reporting.AllureCategoriesTest","sdet.reporting.AllureCategoriesTest","timeoutFailure"
"","15","staleElementFaillure()","","2026-07-10","broken","2026-07-10","","sdet.reporting.AllureCategoriesTest","sdet.reporting.AllureCategoriesTest","staleElementFaillure"
"","26","assertionFailure()","","2026-07-10","failed","2026-07-10","","sdet.reporting.AllureCategoriesTest","sdet.reporting.AllureCategoriesTest","assertionFailure"
"","0","skippedTest()","","2026-07-10","skipped","2026-07-10","","sdet.reporting.AllureCategoriesTest","sdet.reporting.AllureCategoriesTest","skippedTest"
"Environment metadata answers which browser, base URL and build produced the report.","4","environmentTemplateCarriesRunContext()","","2026-07-10","passed","2026-07-10","","sdet.reporting.W6D4ReportinginsightsTest","sdet.reporting.W6D4ReportinginsightsTest","environmentTemplateCarriesRunContext"
"","5","clickInterceptedFailure()","","2026-07-10","broken","2026-07-10","","sdet.reporting.AllureCategoriesTest","sdet.reporting.AllureCategoriesTest","clickInterceptedFailure"
"Categories split flaky, test and product failures so each bucket has an owner.","5","categoriesPutSpecificFlakyRuleBeforeGenericBuckets()","","2026-07-10","passed","2026-07-10","","sdet.reporting.W6D4ReportinginsightsTest","sdet.reporting.W6D4ReportinginsightsTest","categoriesPutSpecificFlakyRuleBeforeGenericBuckets"
"","11","browserLaunchFailure()","","2026-07-10","broken","2026-07-10","","sdet.reporting.AllureCategoriesTest","sdet.reporting.AllureCategoriesTest","browserLaunchFailure"
"","3","connectionFailure()","","2026-07-10","broken","2026-07-10","","sdet.reporting.AllureCategoriesTest","sdet.reporting.AllureCategoriesTest","connectionFailure"
"","5","flakyFailure()","","2026-07-10","broken","2026-07-10","","sdet.reporting.AllureCategoriesTest","sdet.reporting.AllureCategoriesTest","flakyFailure"
"","5","sqlFailure()","","2026-07-10","broken","2026-07-10","","sdet.reporting.AllureCategoriesTest","sdet.reporting.AllureCategoriesTest","sqlFailure"
"","0","skippedTestTwo()","","2026-07-10","skipped","2026-07-10","","sdet.reporting.AllureCategoriesTest","sdet.reporting.AllureCategoriesTest","skippedTestTwo"
"","3","genericFailure()","","2026-07-10","failed","2026-07-10","","sdet.reporting.AllureCategoriesTest","sdet.reporting.AllureCategoriesTest","genericFailure"
"The leadership view is the Overview page once categories, history, severity and environment exist.","1","executiveViewNeedsFourSignals()","","2026-07-10","passed","2026-07-10","","sdet.reporting.W6D4ReportinginsightsTest","sdet.reporting.W6D4ReportinginsightsTest","executiveViewNeedsFourSignals"
"","2","noSuchElementFailure()","","2026-07-10","broken","2026-07-10","","sdet.reporting.AllureCategoriesTest","sdet.reporting.AllureCategoriesTest","noSuchElementFailure"
